name,description,n,trials,resize
no_resize_selfLoops_49,,49,1000,False
,class,start_nodes,weights
0,1,"[0.232282   0.14289975 0.57418142 0.21719811 0.42306861 0.31638884
 0.77419218 0.0500117  0.36525047 0.05349729 0.6671665  0.53809068
 0.24296474 0.80803453 0.98801218 0.02450151 0.26051472 0.22884626
 0.16331699 0.41300846 0.56638686 0.98484054 0.30221141 0.02544303
 0.05970929 0.48651727 0.88561169 0.35044549 0.26839034 0.49667992
 0.44033802 0.47048348 0.55115278 0.69079955 0.64822187 0.57179878
 0.14158298 0.64543159 0.839353   0.62640359 0.74562977 0.57560264
 0.25033658 0.62486803 0.82410084 0.5733619  0.4810243  0.07439743
 0.80602975]","[[ 0.74649634 -0.40098333 -0.96961441 ... -0.65822711 -0.34436953
   0.57088386]
 [ 0.02045224  0.01404512 -0.53495888 ...  0.00423702  0.01914761
   0.86277128]
 [-0.40119881  0.00210529 -0.94222017 ...  0.81496609  0.68046199
   0.08113799]
 ...
 [ 0.21867961 -0.49348103  0.25109406 ... -0.48326739  0.30427224
  -0.59567322]
 [-0.55792871  0.11236746  0.01218574 ...  0.53114547 -0.80660934
   0.34987844]
 [-0.32877814  0.29891196  0.89150034 ... -0.2056958  -0.46290824
  -0.2472875 ]]"
1,1,"[0.32749851 0.18002009 0.3594506  0.03422863 0.392774   0.78563438
 0.17344055 0.76117157 0.76626191 0.71147229 0.44251607 0.05391965
 0.85312316 0.09940429 0.90485073 0.31784787 0.99770762 0.55689579
 0.69331922 0.5633991  0.85514258 0.93217701 0.44586464 0.72749615
 0.29408429 0.59906995 0.6126433  0.1970476  0.31640711 0.65474592
 0.55079796 0.48010527 0.41793174 0.38952839 0.02311606 0.26278311
 0.38195603 0.14012412 0.76799994 0.43690316 0.05639575 0.48904378
 0.02917501 0.3115605  0.91596487 0.76315983 0.14615761 0.72175712
 0.61864372]","[[ 0.99763522 -0.96993224  0.38207403 ... -0.60787499 -0.63115092
  -0.98500091]
 [-0.91588735  0.65573312 -0.70944161 ... -0.32196853 -0.95296537
   0.53373146]
 [ 0.27792528 -0.38351967 -0.03024616 ...  0.33955003 -0.2308242
  -0.30703393]
 ...
 [ 0.78136528  0.22294175 -0.95473281 ...  0.10401616 -0.89311644
  -0.70171372]
 [ 0.47575091  0.30535356  0.80143596 ... -0.74379218 -0.2772585
   0.93092617]
 [ 0.81041995 -0.52292855  0.4084092  ...  0.83999345 -0.66614491
   0.16084788]]"
2,1,"[0.47492409 0.81412931 0.2574798  0.18199918 0.41388594 0.38154838
 0.08619601 0.59234638 0.63344904 0.9565205  0.98307852 0.56237075
 0.95572833 0.82537421 0.2021368  0.21029101 0.4898289  0.78762536
 0.40262845 0.74797149 0.63052174 0.50304132 0.03335349 0.95906385
 0.97237542 0.72718543 0.51388317 0.50304291 0.00311858 0.82374762
 0.36195679 0.19345202 0.67898723 0.89780866 0.86996887 0.99550588
 0.25028562 0.79792233 0.6869699  0.60472759 0.40415644 0.61651955
 0.69639624 0.624325   0.7469166  0.02080848 0.08442754 0.63821271
 0.73035833]","[[-0.88837137 -0.98902855 -0.23396058 ... -0.10942247 -0.92659441
   0.5373444 ]
 [-0.97232851 -0.7415478   0.32979059 ... -0.66359374 -0.63879362
   0.67801031]
 [-0.70237171 -0.89874948  0.94220542 ...  0.16870584  0.88172078
  -0.74894204]
 ...
 [ 0.37367671  0.343095   -0.40632182 ... -0.68267581 -0.96444202
   0.32796823]
 [ 0.77944458  0.42975878  0.72810496 ... -0.33875282  0.53006441
   0.83150963]
 [ 0.11470413 -0.0630381   0.45979104 ... -0.99196502 -0.1293323
  -0.37472416]]"
3,1,"[0.78351198 0.75002893 0.04696455 0.61527858 0.3442667  0.54505994
 0.89503076 0.79288685 0.30364899 0.45102973 0.52040459 0.58758898
 0.74395175 0.190011   0.46270846 0.89524075 0.61661146 0.13291538
 0.8663577  0.72700179 0.9828735  0.19597036 0.22500006 0.0597877
 0.91535841 0.91700288 0.23231024 0.66301249 0.59145681 0.88756681
 0.66013807 0.08416543 0.43495156 0.78231212 0.67106861 0.31383283
 0.17788364 0.34873878 0.47651581 0.51017705 0.23740496 0.20309152
 0.30619774 0.58717311 0.26896058 0.92662868 0.81157135 0.28514985
 0.81997969]","[[ 0.72010602  0.79647464 -0.56687292 ...  0.3654616  -0.58630543
  -0.95856916]
 [-0.40350529  0.03604642  0.055361   ...  0.70990365  0.24970646
  -0.73418551]
 [-0.59499533  0.30868916  0.26041274 ...  0.07835825  0.77426823
  -0.2288507 ]
 ...
 [-0.63918453 -0.12574003  0.91068471 ...  0.43912664 -0.16288169
  -0.61354062]
 [-0.50348469  0.10428305 -0.46191995 ... -0.57472536  0.38670685
   0.03237609]
 [-0.27145488 -0.07825486  0.77583871 ... -0.3868794  -0.27795901
   0.37853692]]"
4,1,"[0.28930129 0.97657297 0.21181963 0.29334896 0.86237493 0.75925755
 0.24311355 0.69931261 0.76622714 0.49207933 0.26268366 0.79548102
 0.90172025 0.09565631 0.57982914 0.99723371 0.68140397 0.44353427
 0.1934312  0.28715561 0.9433088  0.4513594  0.31947524 0.75195773
 0.05625471 0.13609704 0.45135794 0.87348999 0.41766598 0.79253321
 0.6956577  0.34776749 0.43674763 0.51279383 0.2478927  0.80136814
 0.59027276 0.24656161 0.60175481 0.24629508 0.07596836 0.47542347
 0.65261815 0.28447638 0.38999314 0.46407777 0.02682363 0.10967203
 0.62517852]","[[-0.7346259  -0.24801643 -0.75467102 ... -0.82345982  0.13083199
  -0.58971612]
 [ 0.90374953 -0.22267688 -0.82100721 ... -0.94835992 -0.81803351
  -0.94620839]
 [ 0.10808781 -0.26776433 -0.63552086 ...  0.5551843  -0.84139641
  -0.51838003]
 ...
 [-0.64614875 -0.81558911 -0.8047004  ...  0.48797335 -0.33296612
   0.97130968]
 [ 0.4565506   0.16576979 -0.12270591 ... -0.0150261  -0.7144499
   0.06160755]
 [ 0.72031285 -0.45057105  0.23067772 ...  0.07237766 -0.45214375
  -0.40324141]]"
5,1,"[0.5761154  0.96732748 0.92885576 0.4259191  0.61732311 0.04050402
 0.80459746 0.44885255 0.08215901 0.96391277 0.90021095 0.0593946
 0.73306346 0.53213686 0.74272236 0.47249838 0.91957457 0.37726407
 0.2726374  0.98446485 0.08433259 0.79369938 0.9544019  0.64921262
 0.61169226 0.50491289 0.07994186 0.73893202 0.18782636 0.25876673
 0.54623721 0.9852814  0.03083474 0.93220075 0.09738764 0.61108515
 0.6805905  0.11833051 0.09092794 0.23261223 0.67280022 0.39111241
 0.57363273 0.1716846  0.62762882 0.54075973 0.8600831  0.69161399
 0.48733727]","[[-0.63872366  0.22255153  0.12570036 ...  0.80575583 -0.66753271
  -0.50812823]
 [ 0.51843809  0.58532968 -0.77072698 ...  0.01803537  0.39861296
  -0.90270476]
 [ 0.41932957 -0.81706224  0.2100552  ...  0.07512915  0.10388474
  -0.53440424]
 ...
 [-0.22524183  0.97011377  0.53284137 ... -0.02983527  0.79037171
   0.06519204]
 [-0.74064168 -0.31852077  0.66635656 ...  0.53350022  0.48418356
  -0.7334483 ]
 [-0.85988787 -0.71339259  0.8243751  ... -0.98533796  0.66706949
   0.06386379]]"
6,1,"[0.11147752 0.2201079  0.30089939 0.01361789 0.32762562 0.43802596
 0.48658402 0.59269601 0.127675   0.97535296 0.91261252 0.73072373
 0.97684628 0.21798177 0.56248942 0.8913416  0.60890721 0.64997603
 0.42417383 0.51021863 0.15487924 0.94632957 0.46789958 0.70256973
 0.39935362 0.05689487 0.90893981 0.28633623 0.96587826 0.601797
 0.89664357 0.42947471 0.35413299 0.82643403 0.4835981  0.75680907
 0.45349597 0.5261437  0.08288124 0.98512897 0.61871838 0.3744334
 0.60239968 0.05474803 0.30025432 0.18025192 0.16303766 0.77653738
 0.03991686]","[[-4.06447430e-01 -6.48277141e-02 -4.60626619e-01 ... -3.58355660e-01
   3.46002106e-01 -8.43885111e-01]
 [ 9.12362334e-01 -1.71364483e-04 -5.75492067e-01 ...  6.43458309e-02
  -7.47149460e-01  3.35068373e-01]
 [ 4.14106211e-01 -4.43346205e-01 -1.76613041e-01 ...  4.69557850e-01
   1.97975515e-01 -1.80922323e-02]
 ...
 [-6.36570647e-01 -3.99411678e-01 -7.26258960e-01 ...  3.62571248e-01
   2.55095740e-01  1.04852348e-01]
 [ 6.69056148e-01 -9.26800213e-01 -9.99199465e-01 ...  7.82961904e-01
  -7.16105519e-01 -1.45652003e-01]
 [-7.22253675e-01  2.49360852e-01  3.17124120e-01 ...  5.80681061e-01
   9.52505330e-01 -3.23359636e-01]]"
7,1,"[4.65719246e-01 6.47126648e-02 9.58694915e-01 8.31307819e-01
 8.49898352e-01 1.62346525e-01 2.21056671e-01 6.85089178e-02
 8.64980540e-01 7.85099008e-01 1.45972671e-01 9.00067612e-01
 4.64591125e-01 4.25925316e-02 7.04850227e-01 9.94051021e-01
 7.84891019e-01 4.83169430e-03 9.29570832e-01 4.39578150e-01
 8.35415117e-01 4.20611871e-01 1.57459732e-02 3.44219984e-01
 7.84674953e-03 5.45113424e-01 4.27205569e-01 9.17694712e-01
 7.45108695e-01 4.72169056e-01 9.42532664e-01 6.77441035e-01
 3.11566344e-02 2.93813635e-01 5.47450171e-01 5.29192867e-02
 5.09628913e-01 6.00183762e-01 8.82464069e-01 6.32697704e-02
 7.17468409e-04 1.83374543e-01 2.77975358e-02 9.26554501e-01
 3.67865328e-01 6.32960594e-01 2.85754365e-01 3.01079115e-01
 6.82208686e-01]","[[ 0.98754141  0.68904283  0.04317281 ...  0.14879489 -0.97503005
   0.32236202]
 [-0.49229295 -0.75292367 -0.10455608 ... -0.04618245 -0.37379629
   0.2027171 ]
 [-0.43457252  0.19694517  0.81916107 ...  0.6175437   0.40490308
   0.5103261 ]
 ...
 [ 0.86673959 -0.7656389  -0.84777681 ...  0.37597116  0.99269883
  -0.35391076]
 [ 0.51208624  0.14233044 -0.48720857 ...  0.60351982  0.5205919
  -0.82179351]
 [ 0.04393537 -0.18346802  0.09699993 ... -0.53869862  0.91881408
   0.43424853]]"
8,1,"[0.89429081 0.26193851 0.51833781 0.6463632  0.05156794 0.37419485
 0.74763973 0.30465988 0.49542657 0.06102665 0.85549322 0.28033211
 0.15159326 0.54349076 0.07203892 0.05497069 0.528635   0.97257465
 0.30497564 0.12661414 0.38856518 0.02660956 0.90918004 0.59364394
 0.98533631 0.88157922 0.12740978 0.98165731 0.71043913 0.77955583
 0.47550124 0.13414375 0.93196508 0.78368433 0.07113396 0.30267898
 0.47124037 0.45514074 0.37817804 0.51215733 0.98986057 0.61338055
 0.70459506 0.13563589 0.49010173 0.76005197 0.99553924 0.515684
 0.72426707]","[[ 0.0682707   0.01006961 -0.78827693 ...  0.56216075  0.85668323
  -0.2127684 ]
 [-0.3049709   0.13511783 -0.18486632 ... -0.22167985  0.35739856
   0.84186269]
 [-0.084558    0.47267905  0.51751136 ...  0.70083298 -0.29390576
   0.04318337]
 ...
 [-0.16726672 -0.43680095  0.3587088  ...  0.60159359  0.32297745
   0.87037882]
 [-0.37249155 -0.14646681  0.78848706 ...  0.60781356 -0.41996956
   0.00914145]
 [-0.92473294  0.23647217 -0.17145321 ... -0.48533286  0.29381911
  -0.40420609]]"
9,1,"[0.27703586 0.06130277 0.04652447 0.90096162 0.89450798 0.37961761
 0.55743182 0.30854276 0.77926652 0.1839704  0.13907028 0.88340588
 0.37511563 0.377387   0.69406468 0.96480176 0.25468418 0.11568837
 0.97633298 0.40176271 0.48278882 0.50878085 0.67376957 0.93098421
 0.36801813 0.38380007 0.1458001  0.14590372 0.4671189  0.48251473
 0.92619922 0.48952687 0.40320264 0.70502387 0.27093103 0.70500354
 0.25095825 0.10606981 0.63107536 0.78380944 0.97709196 0.5839406
 0.0364958  0.04905922 0.98971778 0.57293176 0.02743426 0.98457625
 0.84792546]","[[ 0.859241   -0.20492773  0.2132069  ...  0.11825703  0.16621705
   0.86975882]
 [-0.40351823 -0.5922127   0.71654128 ...  0.55914964 -0.27592328
  -0.99477414]
 [ 0.80525701 -0.95466638 -0.20346507 ...  0.83180682  0.3260371
  -0.83824521]
 ...
 [ 0.05265702  0.90350269 -0.47692314 ...  0.46036175 -0.86191596
  -0.60676798]
 [ 0.61481359 -0.33765947 -0.58696696 ...  0.25494047 -0.51664093
  -0.10967211]
 [ 0.56741719  0.68579517 -0.84578517 ... -0.49103203  0.58665787
   0.31609576]]"
