name,description,n,trials,resize
cycles_37,,37,1000,True
,class,start_nodes,weights
0,1,"[0.14946473 0.13166723 0.75906779 0.21028008 0.20538036 0.46698912
 0.89450493 0.58454606 0.47670514 0.1599362  0.3784932  0.30283505
 0.42325793 0.0851421  0.71530195 0.54590437 0.26650371 0.813977
 0.21699909 0.94854325 0.21084443 0.98774403 0.2018389  0.71065251
 0.33363888 0.78633818 0.52067083 0.29768308 0.73770592 0.11158337
 0.63303036 0.17117026 0.12183375 0.48265652 0.80637197 0.59239386
 0.01061692]","[[-0.          0.75801985  0.78213959 ...  0.06349026  0.4957337
  -0.74810972]
 [ 0.15140182  0.         -0.32465224 ...  0.83199896  0.5302851
  -0.64170123]
 [ 0.19753908  0.55764772 -0.         ... -0.12758778  0.86978264
  -0.93409757]
 ...
 [ 0.15076444 -0.34612701  0.71434422 ...  0.         -0.19817673
  -0.59499871]
 [ 0.22304455 -0.47973375  0.05144846 ...  0.59925364  0.
   0.92381142]
 [-0.69007073  0.43897004  0.56419166 ... -0.40289911 -0.01679002
  -0.        ]]"
1,2,"[0.5883315  0.37650932 0.54638583 0.94497721 0.88489124 0.17181789
 0.74207393 0.28113583 0.57323262 0.13019393 0.2922269  0.83347586
 0.68352823 0.28379058 0.20545915 0.34742435 0.74893647 0.66923665
 0.06653295 0.88837869 0.73807845 0.50442073 0.27810382 0.64202085
 0.6880599  0.22795247 0.27241269 0.05389871 0.33729917 0.10031189
 0.50117195 0.80171215 0.75916118 0.45855588 0.17316209 0.76688607
 0.9853425 ]","[[-0.          0.77524318 -0.76021561 ... -0.59679166  0.8268079
  -0.65724989]
 [ 0.8207293  -0.         -0.05003189 ... -0.22941044  0.16038072
  -0.99598213]
 [ 0.59550088 -0.90425431 -0.         ...  0.11582591 -0.71976765
  -0.85239948]
 ...
 [ 0.85633287  0.30572141  0.26663279 ...  0.         -0.2611119
   0.40596046]
 [-0.59997712 -0.79446646 -0.14229134 ... -0.21761405  0.
  -0.03802553]
 [ 0.65733897  0.71542482  0.87561966 ...  0.97328444  0.83943873
  -0.        ]]"
2,12,"[0.16481231 0.237582   0.27985723 0.02432548 0.63538827 0.15224832
 0.16790844 0.57468589 0.2056056  0.09189386 0.52247241 0.10670546
 0.41050904 0.2111108  0.00233373 0.82989932 0.23961648 0.61508363
 0.84734587 0.90741092 0.80079893 0.33333261 0.26602724 0.12339711
 0.99150174 0.62788376 0.18614788 0.51909071 0.67131157 0.1853068
 0.39723407 0.95933714 0.01319835 0.33569864 0.2483995  0.11751189
 0.82164608]","[[ 0.          0.79324397 -0.21210402 ...  0.28601494  0.69893447
   0.30563919]
 [-0.30590932 -0.         -0.56137252 ...  0.16524607 -0.86066562
  -0.01854044]
 [ 0.26504793 -0.47941425  0.         ...  0.8606572   0.02172809
  -0.40912194]
 ...
 [ 0.67275551  0.71258736 -0.46753362 ... -0.          0.36889918
   0.25859247]
 [ 0.57602007 -0.69899912  0.91548175 ... -0.02376374  0.
   0.34261609]
 [ 0.02725825  0.52053524  0.64404877 ...  0.8371919   0.20754965
  -0.        ]]"
3,1,"[0.89554506 0.36418545 0.53877089 0.18930544 0.37526615 0.59881779
 0.08267662 0.13256289 0.25537189 0.92209092 0.32005016 0.28195212
 0.38924481 0.02881013 0.0599607  0.53627122 0.72458749 0.06269119
 0.89158038 0.29456318 0.85308503 0.13279327 0.32065034 0.78670633
 0.65416853 0.45277172 0.72277975 0.25281497 0.43833473 0.64659431
 0.98346846 0.87230411 0.56232923 0.44929384 0.21061137 0.81779619
 0.02287219]","[[ 0.          0.64100115  0.21297016 ...  0.11640556  0.93474854
  -0.7477681 ]
 [ 0.65631522 -0.          0.92239162 ...  0.62235697 -0.74333131
   0.2115453 ]
 [ 0.246803    0.45166395  0.         ... -0.87827641  0.84186732
   0.40941631]
 ...
 [-0.80347297 -0.54650268 -0.7340944  ...  0.         -0.35512411
   0.16757611]
 [ 0.35917249  0.356894    0.93697474 ... -0.44543849 -0.
   0.16189125]
 [ 0.18070668  0.87476839  0.58041514 ...  0.11503332 -0.49409891
  -0.        ]]"
4,27,"[0.22238418 0.20402729 0.67577965 0.15238432 0.48411509 0.35309395
 0.493948   0.86918876 0.04001743 0.74120003 0.11185794 0.71730394
 0.26668771 0.94233612 0.61294094 0.91344888 0.51995021 0.37161639
 0.95529641 0.05957519 0.46922376 0.34934795 0.73598433 0.22193244
 0.51884373 0.24410293 0.41725415 0.52383701 0.60848714 0.31812063
 0.40554761 0.1262167  0.97063734 0.4769517  0.0502866  0.71309638
 0.2303077 ]","[[ 0.         -0.77796238  0.36450995 ...  0.9238947   0.77409966
   0.33105214]
 [ 0.90819474 -0.          0.17799184 ...  0.1662066  -0.01749317
   0.91379683]
 [ 0.54603136 -0.19551022 -0.         ... -0.62164386  0.09505964
   0.32142088]
 ...
 [ 0.34771948 -0.33082446  0.65346108 ... -0.          0.60110597
   0.11846059]
 [-0.28304762  0.32822533 -0.95203798 ...  0.43227806 -0.
   0.44810846]
 [-0.26784131 -0.3474221  -0.84112024 ... -0.10228143  0.55413911
  -0.        ]]"
5,1,"[0.61009947 0.20132303 0.39572659 0.25108572 0.66274905 0.53747296
 0.13751928 0.50598415 0.81878856 0.19242261 0.98192753 0.56443153
 0.8153909  0.0168988  0.05583009 0.1645342  0.17635339 0.58891353
 0.60784254 0.46100152 0.25870999 0.45935657 0.35883807 0.9753528
 0.32125061 0.13464432 0.12085601 0.45393544 0.8654063  0.78177501
 0.34558292 0.56169827 0.24994063 0.72336398 0.21786535 0.7143301
 0.17137591]","[[-0.          0.682004   -0.79113785 ... -0.23134214 -0.7459493
   0.41511952]
 [ 0.17708043 -0.         -0.08206692 ...  0.17280965  0.01964332
  -0.79107989]
 [ 0.29531244  0.7445792   0.         ...  0.07955175 -0.24275351
  -0.98274946]
 ...
 [ 0.18697224 -0.88952092  0.10988727 ... -0.          0.31411413
   0.16582862]
 [ 0.81321628  0.55701378  0.01240868 ...  0.54559182 -0.
   0.48175827]
 [ 0.51883619  0.45289204 -0.7226568  ...  0.29071069 -0.0437365
   0.        ]]"
6,1,"[0.71519271 0.82441258 0.71203566 0.70898383 0.27308287 0.56438045
 0.34277399 0.29289127 0.12323577 0.93822668 0.69748901 0.231541
 0.35900291 0.78988221 0.36321427 0.22330082 0.0816625  0.13370808
 0.81074497 0.2743909  0.7404264  0.06432295 0.53324365 0.37977519
 0.5278819  0.8361214  0.4553266  0.44933291 0.09272988 0.45975379
 0.13186692 0.01178895 0.74129579 0.56661513 0.35489391 0.78197349
 0.51326948]","[[-0.          0.15103291  0.69679891 ...  0.09660521 -0.89346534
  -0.14042462]
 [-0.23940312 -0.         -0.93512156 ... -0.28656558  0.78774129
  -0.83732783]
 [ 0.65829753 -0.77710141 -0.         ... -0.02087184 -0.87356064
   0.29635488]
 ...
 [-0.55745673  0.77759624  0.42263127 ...  0.          0.36476569
   0.46791702]
 [ 0.15025071 -0.18349861 -0.25106337 ... -0.95212999  0.
  -0.63476705]
 [ 0.44213773  0.36674    -0.58000891 ...  0.52066939 -0.58993543
  -0.        ]]"
7,1,"[0.83047022 0.82786547 0.35551488 0.36114517 0.00648313 0.6131281
 0.22484219 0.70752964 0.81041281 0.94785448 0.03353073 0.26621883
 0.46201747 0.48896541 0.83622641 0.12146866 0.88083951 0.46734845
 0.61055177 0.82072808 0.85077505 0.03538405 0.85866782 0.526808
 0.28077853 0.243732   0.78767737 0.15729577 0.91175858 0.35741846
 0.32387507 0.94589916 0.90919196 0.38673297 0.88867594 0.40849809
 0.98655958]","[[ 0.         -0.01079267  0.08416593 ... -0.3256906   0.60768046
  -0.05524802]
 [-0.46434631  0.         -0.44044789 ...  0.26733347  0.11114253
  -0.27969001]
 [ 0.55549334 -0.83081911 -0.         ... -0.3574005   0.95275346
  -0.67254336]
 ...
 [ 0.54786212 -0.71337952 -0.91388052 ...  0.         -0.69418242
   0.48400753]
 [-0.94662885 -0.43831399  0.83260177 ...  0.48125359  0.
   0.74642497]
 [-0.48305296 -0.52117484  0.56310984 ... -0.22321487  0.39958311
  -0.        ]]"
8,1,"[0.78226837 0.04007766 0.97643523 0.4693644  0.272918   0.00355969
 0.06216384 0.57107474 0.53619209 0.04330733 0.52885655 0.98411665
 0.70322052 0.00415065 0.43888595 0.27453482 0.41281331 0.38387267
 0.1917528  0.9505584  0.90382308 0.21138719 0.67515767 0.72983362
 0.59589711 0.52953437 0.44345796 0.63709656 0.61657114 0.68320911
 0.50377956 0.91838352 0.16730872 0.42306971 0.69598632 0.37204123
 0.77648939]","[[-0.         -0.94978189 -0.70956575 ... -0.7954812  -0.5752475
   0.12549141]
 [-0.74190907 -0.         -0.59862531 ... -0.38683894  0.34675578
   0.49394451]
 [ 0.55679098  0.02815646 -0.         ...  0.10042511 -0.70310425
   0.30095066]
 ...
 [ 0.75652573 -0.81704148  0.17288274 ...  0.         -0.77675528
   0.06097786]
 [-0.10674865 -0.24935672 -0.0200975  ... -0.36233355 -0.
  -0.78367783]
 [-0.89704051 -0.07015362 -0.63764405 ... -0.95650991  0.63878349
  -0.        ]]"
9,1,"[0.0370508  0.58447548 0.33651213 0.08771032 0.50773069 0.82623483
 0.44255197 0.03641274 0.34920991 0.52686313 0.6643709  0.03790674
 0.27426905 0.59179608 0.14929422 0.7231433  0.57278394 0.02336353
 0.1517654  0.39481558 0.86323791 0.96794361 0.6569212  0.93853393
 0.45185427 0.11870894 0.26561119 0.52422177 0.32484128 0.05087775
 0.41529078 0.72381898 0.41788081 0.7806504  0.75507432 0.3158955
 0.26860178]","[[-0.         -0.94898102  0.76791541 ...  0.27839168  0.89555066
   0.67464529]
 [ 0.71583852 -0.         -0.48208081 ...  0.75963967 -0.62188654
   0.30187916]
 [-0.66451267  0.6780771   0.         ... -0.573964   -0.10589499
  -0.38425314]
 ...
 [-0.32692378  0.26139053  0.712809   ...  0.         -0.56444124
   0.01726701]
 [-0.81759698  0.9401066   0.0139389  ...  0.49935633  0.
  -0.97612612]
 [-0.37232877  0.62057443  0.05951765 ...  0.28850666 -0.57146091
   0.        ]]"
10,1,"[0.10515782 0.33238225 0.3384081  0.60754251 0.85269934 0.53643025
 0.05926343 0.96764134 0.04970445 0.46009597 0.23067104 0.05870136
 0.77985797 0.55304144 0.52276899 0.44910111 0.43936192 0.96101502
 0.54921558 0.72630814 0.03988577 0.47944705 0.94955428 0.19663859
 0.63459725 0.65134449 0.14787835 0.10363433 0.57008902 0.70341311
 0.04156073 0.05242314 0.17688731 0.27298105 0.23816945 0.91677102
 0.75173674]","[[-0.         -0.78618667 -0.13289752 ...  0.18122263 -0.58788482
   0.69238099]
 [-0.38095454  0.          0.24587134 ...  0.24063839 -0.70288245
   0.58553911]
 [ 0.09642741 -0.11811688 -0.         ...  0.40405465  0.15016915
   0.75228056]
 ...
 [ 0.26959546  0.8060527  -0.17622658 ...  0.         -0.74510329
  -0.36356311]
 [-0.79115261  0.61915222  0.95189203 ...  0.54508717 -0.
   0.61608077]
 [ 0.85959097 -0.29395133  0.79892876 ...  0.14575431 -0.27377945
   0.        ]]"
11,3,"[0.05849096 0.07152388 0.75883354 0.13440124 0.34232005 0.52146597
 0.88317415 0.66952474 0.68669266 0.00702275 0.22385996 0.23692928
 0.45839863 0.6383919  0.92171792 0.52062732 0.43723558 0.76607612
 0.90645739 0.7990965  0.85582855 0.53610952 0.53673937 0.69619975
 0.94790085 0.96712539 0.06927397 0.50369823 0.32797514 0.1249499
 0.76684142 0.6534539  0.2898312  0.25755755 0.13327959 0.92632135
 0.72926471]","[[ 0.          0.66523428  0.10240622 ... -0.00151971 -0.55903097
  -0.50654742]
 [ 0.20453023  0.          0.02415326 ...  0.06190924  0.53975879
  -0.85435833]
 [ 0.26678681 -0.73850848 -0.         ...  0.15295512  0.60648371
  -0.46261673]
 ...
 [ 0.25281713 -0.2837806   0.96887849 ... -0.          0.15585502
   0.05051593]
 [ 0.65630003  0.78161676  0.63358345 ...  0.83745944  0.
  -0.68406278]
 [-0.46365264  0.46609373  0.18329482 ... -0.72936026  0.84333727
  -0.        ]]"
12,2,"[0.03215263 0.78939205 0.33591583 0.75100394 0.72992044 0.18727151
 0.92354729 0.09455016 0.67744178 0.58251983 0.41693437 0.26645142
 0.54410196 0.76450385 0.09569222 0.70741007 0.58141731 0.60658039
 0.87456644 0.73766782 0.63782231 0.37477654 0.34181889 0.67042129
 0.27178262 0.47643621 0.89876105 0.29501565 0.43599044 0.13413381
 0.97140226 0.62421026 0.79585678 0.95556785 0.01127435 0.01988069
 0.74571159]","[[-0.          0.87596523 -0.13860596 ...  0.63313474  0.2461197
  -0.7861755 ]
 [ 0.40184017  0.         -0.66855194 ...  0.43121341  0.04597238
   0.60665912]
 [-0.48272988  0.61478888 -0.         ... -0.5523328   0.62426797
  -0.75302836]
 ...
 [ 0.8199414  -0.69069271  0.65639993 ... -0.         -0.99841609
   0.27074404]
 [-0.83957026 -0.68020017 -0.70867303 ...  0.31004461 -0.
  -0.68818151]
 [ 0.20568795 -0.77801249 -0.83790081 ... -0.68814773 -0.7271675
   0.        ]]"
13,2,"[0.5346346  0.42315568 0.0843147  0.11455763 0.6120816  0.9182209
 0.04472151 0.12284351 0.61873235 0.48903498 0.64580951 0.83809149
 0.5648665  0.18376522 0.64371775 0.04821413 0.46429904 0.82567125
 0.5899063  0.60738674 0.53470256 0.48901524 0.85642217 0.13447253
 0.92892017 0.68267537 0.96584398 0.79653153 0.06221204 0.49288999
 0.65151777 0.74569343 0.18319527 0.88550462 0.28187638 0.24655466
 0.90726271]","[[ 0.         -0.6797127   0.90543831 ...  0.54829972  0.90863113
   0.33664629]
 [-0.234423   -0.         -0.80221289 ... -0.15233148 -0.88401455
   0.49633048]
 [ 0.15148752  0.29531758 -0.         ... -0.50910168  0.74017039
   0.15037973]
 ...
 [ 0.30859752 -0.71551026  0.14542841 ... -0.         -0.61517142
   0.6866175 ]
 [ 0.29394729 -0.30849262  0.4796486  ...  0.33107553 -0.
   0.26580259]
 [ 0.20685166  0.10046029  0.53257778 ... -0.82259749  0.11901486
  -0.        ]]"
14,1,"[0.26897269 0.52949736 0.84059912 0.47443619 0.43756852 0.50674941
 0.39851128 0.49135159 0.93172273 0.95903833 0.75621523 0.06057222
 0.44408928 0.40458807 0.45193271 0.60858044 0.68757329 0.509345
 0.52782562 0.6266974  0.86154793 0.3165695  0.80636475 0.92473568
 0.14572859 0.73887376 0.57629102 0.30927383 0.49423005 0.17004823
 0.08818358 0.98268837 0.88209589 0.93482317 0.15885346 0.82100349
 0.20459662]","[[ 0.          0.54644242  0.19487749 ... -0.26039826 -0.92174149
  -0.20833063]
 [ 0.71780851 -0.         -0.76272122 ...  0.5164912  -0.45354955
  -0.29710681]
 [ 0.47587885 -0.1362077   0.         ... -0.92378771 -0.01235464
  -0.28002065]
 ...
 [ 0.5158324   0.86656882 -0.68820745 ...  0.         -0.56506622
  -0.92273046]
 [-0.44591707 -0.37122331 -0.71337359 ... -0.00738961  0.
   0.73160094]
 [-0.87402819 -0.17982634  0.80078582 ...  0.8459018   0.77629731
   0.        ]]"
